SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.12350432471880855,0.9432369821588575,0.06995606422424316,0.9086424121118549
200,0.1721347572795556,0.9643135575086866,0.07743501663208008,0.8908951241287736
300,0.17284910817268176,0.9744846314349126,0.23753094673156738,0.8947934491254835
400,0.1856907859195864,0.9685597493256748,0.42308998107910156,0.8847617457611963
500,0.1902386887645808,0.965678020988361,0.4994978904724121,0.8808734675572669
600,0.19331553917470087,0.9713417687216929,0.7166275978088379,0.8813889221172956
700,0.14906674939535516,0.8975776619351049,3.305856704711914,0.8736332979828543
800,0.18571765089908981,0.9430923523267366,3.6326324939727783,0.8739666679483442
900,0.20470972801679227,0.9701141100923656,5.038203477859497,0.8740459945647486
1000,0.1903798167728942,0.9598080471753468,5.596337556838989,0.8783401933631518
