SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.12981618326144106,0.5235550516687744,0.1349797248840332,0.6537654125331278
200,0.1722193523274174,0.4050139781088402,0.25756049156188965,0.5439068699749957
300,0.16632005853490286,0.38053195167428266,0.469907283782959,0.5225477645045581
400,0.19249707063689295,0.3380595941747097,0.7185018062591553,0.47659399986712225
500,0.19811080337345183,0.32952624436517913,1.02457594871521,0.46710257927846177
600,0.19491213651714048,0.33463016771234727,1.350316047668457,0.4727602431593041
700,0.18829059168036524,0.3427574427256468,1.7712948322296143,0.48198775180089304
800,0.19712319520274696,0.35655187256575943,2.2498605251312256,0.4938073963137711
900,0.2083482439204846,0.3462528791837094,2.807954788208008,0.48178325557126
1000,0.19990021496515895,0.3192355596241026,3.836124897003174,0.45637851757204556
