SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.1332873824672208,0.5730956996578211,0.16190814971923828,0.689965835058384
200,0.17149272525234163,0.5531628772422138,0.4060788154602051,0.6633992451171942
300,0.18282018320619944,0.44387382373287376,0.8844509124755859,0.5752724837400301
400,0.19957681935438398,0.48115224746858953,1.5723495483398438,0.6010187209352068
500,0.21398079004285728,0.45061613762383174,2.220170259475708,0.5728332789158461
600,0.21673064709751605,0.43838334655110145,2.8466126918792725,0.5621437914881837
700,0.21973168344019417,0.45053715789005355,4.061208724975586,0.5712354665819819
800,0.23098737188243018,0.44762510738627553,4.671832323074341,0.5658699384331913
900,0.24198167065899912,0.4480627203661307,5.641460180282593,0.5632121569514619
1000,0.23708943776221608,0.4214330747569736,6.788935899734497,0.5429433383443997
